"","x"
"1",3
"2",3
"3",3
"4",3
"5",3
"6",3
"7",3
"8",1
"9",23
"10",2
"11",2
"12",23
"13",23
"14",9
"15",9
"16",23
"17",9
"18",9
"19",23
"20",2
"21",2
"22",2
"23",2
"24",22
"25",22
"26",22
"27",7
"28",22
"29",13
"30",22
"31",7
"32",22
"33",7
"34",13
"35",22
"36",20
"37",20
"38",13
"39",20
"40",20
"41",13
"42",6
"43",6
"44",20
"45",6
"46",13
"47",6
"48",13
"49",12
"50",23
"51",12
"52",12
"53",22
"54",12
"55",22
"56",22
"57",12
"58",22
"59",12
"60",22
"61",12
"62",12
"63",23
"64",23
"65",23
"66",12
"67",7
"68",7
"69",13
"70",7
"71",23
"72",22
"73",30
"74",7
