"","x"
"1",1
"2",2
"3",3
"4",4
"5",1
"6",5
"7",1
"8",5
"9",5
"10",6
"11",7
"12",8
"13",1
"14",1
"15",7
"16",2
"17",1
"18",2
"19",10
"20",9
"21",9
"22",10
"23",11
"24",12
"25",11
"26",8
"27",4
"28",13
"29",14
"30",5
"31",5
"32",12
"33",4
"34",8
"35",10
"36",8
"37",10
"38",4
"39",15
"40",11
"41",16
"42",11
"43",2
"44",17
"45",4
"46",12
"47",7
"48",18
"49",12
"50",17
"51",7
"52",12
"53",5
"54",1
"55",7
"56",15
"57",15
"58",7
"59",16
"60",9
"61",4
"62",12
"63",12
"64",18
"65",12
"66",1
"67",7
"68",18
"69",16
"70",10
"71",19
"72",7
"73",10
"74",12
"75",10
"76",18
"77",12
"78",10
"79",12
"80",11
"81",20
"82",11
"83",20
"84",21
"85",18
"86",20
"87",10
"88",17
"89",18
"90",10
"91",11
"92",12
"93",18
"94",18
"95",12
"96",10
"97",18
"98",22
"99",18
"100",9
"101",20
"102",18
"103",18
"104",18
"105",17
"106",12
"107",19
"108",4
"109",12
"110",22
"111",10
"112",8
"113",8
"114",22
"115",23
"116",17
