"","x"
"1",0.931492999591727
"2",3.23163338004635
"3",3.71960476907598
"4",4.89230662085708
"5",5.75622062060492
"6",8.93856849141174
"7",9.76398492125687
"8",10.0460789528456
"9",10.7779744435139
"10",11.2306272389094
"11",11.7787431862863
"12",16.1735041038405
"13",17.0603697346766
"14",18.1369641756878
"15",19.826540975219
"16",22.1178998224148
"17",25.7467933499207
"18",26.0180146260011
"19",27.3232142490887
"20",28.1020761130145
"21",30.9854541786333
"22",31.0867669292215
"23",36.0612943500856
"24",36.2059127324741
"25",37.0075442577943
"26",37.6029055641545
"27",37.7878389139875
"28",38.2061592241589
"29",38.8568676862367
"30",39.8579211107901
"31",42.2097209237304
"32",42.9747152632936
"33",47.7346799033146
"34",48.9386539527868
"35",49.821708731283
"36",51.8367624505048
"37",52.2840552560216
"38",58.1769465977738
"39",62.2880486346831
"40",72.836970334476
"41",73.0452574422651
"42",78.867625798334
"43",80.1238649566834
"44",80.2895992468312
"45",84.7566715601631
"46",84.8814190634486
"47",84.9519888201038
