"","sigma_true","freq","beta_true","N","N_scr","sigma","sigma_scr","N_better","sigma_better","N_SE","N_scr_SE","sigma_SE","sigma_scr_SE"
"1",0.12,135,0.2,48.880032,40.7851216280107,0.0781770484361975,0.0604943348515952,0.66,1,92.2582049024,149.772110269769,0.00188877993482766,0.00360324399077188
"2",0.12,135,0.4,52.013088,46.7668549048504,0.0965546929804737,0.0817712336738712,0.48,0.96,77.8423798272,60.1969290784774,0.000752927430878603,0.00158563067252555
"3",0.12,135,0.599999999999999,49.806448,46.5796135440289,0.100202754869334,0.0898978179127926,0.64,0.98,47.6106312,49.5860890851237,0.000514143150652608,0.000988183114142518
"4",0.12,135,0.8,52.1654,49.5315792080048,0.105406898008566,0.0951248267703046,0.46,0.9,52.178316496,37.8622761582094,0.000394229721337971,0.000743278038957527
"5",0.12,135,1,51.239616,49.5084681612851,0.114783683316094,0.102114581225352,0.46,0.76,70.0868732096,60.9321978143079,0.000539519786876285,0.000551013594936677
"6",0.12,270,0.2,50.88532,43.7640008531602,0.0715766416660682,0.0588977680374027,0.66,1,67.0545433504,89.0572434978539,0.0024396628439273,0.00378333394603999
"7",0.12,270,0.4,49.690432,45.3688108939868,0.0927515433458201,0.0797433483205357,0.62,1,37.678693472,56.5558891735087,0.000816267437723655,0.00169558049755917
"8",0.12,270,0.599999999999999,50.420552,46.9123666610778,0.0992311695194072,0.0888460769175278,0.46,0.96,48.3501152672,53.4752383499946,0.000532648836039402,0.00104895461593197
"9",0.12,270,0.8,49.598344,46.7632618108051,0.105630473147943,0.0967857933650332,0.68,0.96,18.7006074016,27.7239178112701,0.000292098591702649,0.00061485808231361
"10",0.12,270,1,49.650464,47.6187549091715,0.107683978042007,0.0986592568984122,0.58,0.98,32.7100238976,35.8643971755921,0.000212519830485113,0.000526025319534087
"11",0.18,135,0.2,48.567576,43.7869112504434,0.12075592145087,0.0978858675436515,0.72,1,78.5177338848,94.2389451071103,0.00400057755412495,0.00700354589092131
"12",0.18,135,0.4,49.487352,46.5012143141636,0.139933057043609,0.121781007135591,0.6,0.98,75.5987651744,67.1158809675663,0.00217352815091278,0.00380730096954983
"13",0.18,135,0.599999999999999,47.222768,45.7529440142028,0.17102998674345,0.144377489505781,0.6,0.78,45.366571936,52.7030421950203,0.00151544532625846,0.00169775584521524
"14",0.18,135,0.8,51.518704,49.706101285571,0.185905569643686,0.143925051377487,0.52,0.74,60.399589696,49.2887145853237,0.00374634215596884,0.00166647098588045
"15",0.18,135,1,50.141432,47.514161446009,0.195254857447094,0.159109432649925,0.64,0.6,69.2203999136,63.57494422459,0.00275689191089222,0.000998000129060398
"16",0.18,270,0.2,45.7136,42.2120022258055,0.116892856287776,0.0956294585935778,0.78,1,93.1248551616,119.590022748699,0.00426194792686178,0.00731058036458984
"17",0.18,270,0.4,46.284376,43.6318521364622,0.137062151161099,0.124129420961501,0.82,1,37.7283228192,63.371948485699,0.00196086685496401,0.0032580315323422
"18",0.18,270,0.599999999999999,47.975896,46.4414392329959,0.148021174213758,0.136072402706047,0.64,0.94,29.7577980832,37.6630715339242,0.00136768076816587,0.00224252603218971
"19",0.18,270,0.8,47.722656,46.8133019737557,0.158002075780738,0.145049900398765,0.7,0.98,27.5970365376,31.9419089406391,0.000757978209707092,0.00145340133896093
"20",0.18,270,1,47.088056,46.816183297518,0.167024585999107,0.153407383274287,0.54,0.94,28.0939585312,29.1423568776802,0.000393566497638228,0.000885318112161382
