"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","beta_true","sigma_true","freq"
"1",1,74,24,25,38.550297588049,5.61844770696014,0.101264988868134,0.00933582541553342,0.114461919298534,1,0.0839539527893066,35.7592,5.6145012609994,0.159427275520249,0.0522665211539688,0.0535911536451489,1.27065345513912,0.324319799924885,9.66236342191696,457.932816388064,39.0349072958135,0,1,50,0.2,0.18,135
"2",2,59,26,23,45.0733642480882,8.48675218260015,0.141142393626536,0.0239412446900118,0.0385278602014354,1,0.0993804454803467,48.0636,9.88677168451546,0.163416730019882,0.0356461435888735,0.0289624408415338,14.8048973335064,0.133201423344697,9.9439510901769,486.717613473068,171.398198374107,1,1,50,0.4,0.18,135
"3",3,70,27,24,38.2061334532324,5.27332945355236,0.156305782330564,0.0191284507896328,0.0498102298623053,1,0.0601038853327433,39.5884,5.50366255875342,0.176680425628284,0.0294572011123645,0.0386364780062114,4.89134569231986,0.405774391592786,10.5279933571815,1304.14645149857,162.216546594441,1,1,50,0.599999999999999,0.18,135
"4",4,48,23,21,42.3377888126421,8.24455249185085,0.116542674775202,0.0168578536860363,0.0536850220618778,1,0.065461536248525,44.304,12.6205901493665,0.244249921848865,0.185871370637466,0.0273029072959556,9.16333798806296,0.349359033307839,9.45611744324366,51.5835872767275,14.5812279166997,1,0,50,0.8,0.18,135
"5",5,76,32,24,55.0719248830529,8.08886710593105,0.124593596708606,0.0141065775723385,0.0530378018039873,1,0.125281524658203,56.2276,8.6919053105272,0.133231760560631,0.017182230086206,0.0475341371904318,16.4091484996109,0.29175264291495,12.1812903642654,872.963773134552,307.216773503966,0,1,50,1,0.18,135
"6",6,178,34,25,49.9536299084353,5.2527590285121,0.0889301244047869,0.00450113459965979,0.263844573592031,1,0.258381915092468,51.8464,6.0128253481593,0.117376999506366,0.0102000626059158,0.0925602579195788,26.2262319805815,0.0756745453220262,18.4466850837072,1063.83382227152,353.000790068195,0,1,50,0.2,0.18,270
"7",7,142,36,24,48.0228919830608,4.63889895149306,0.122636527382442,0.00843103806050418,0.121740509331524,1,0.179607745011648,50.4736,5.46439812776847,0.137330277657633,0.0120178201423123,0.0777820574466321,12.941617307392,0.137709882308886,15.5773455500603,1013.30852066798,417.237461452198,1,1,50,0.4,0.18,270
"8",8,145,34,25,41.6419832768814,3.55668017580292,0.141561713943953,0.00995648248052316,0.111185182311872,1,0.26212991476059,42.8576,3.79419037374733,0.149654316872219,0.0118736774195753,0.0886100071903885,28.0996579525176,0.142580553107937,14.5680995464325,1525.43621677394,454.06623800555,1,1,50,0.599999999999999,0.18,270
"9",9,167,41,25,55.2052012074411,5.04215209040001,0.122156834468291,0.0078558090506167,0.118721751605159,1,0.284632170200348,56.7836,5.61111084063988,0.135825149498061,0.0113726741627393,0.082600828056488,13.3523355638355,0.16923024716232,18.4521761616071,993.675930503347,352.806180761878,0,1,50,0.8,0.18,270
"10",10,154,40,25,49.8000327516055,4.22401072992281,0.153996301840965,0.012195010314475,0.0803124668971732,1,0.18818606932958,49.0628,4.16953356672729,0.171110840990445,0.0161593631605808,0.0675623620273195,26.4750796112857,0.179464854096387,16.7552407463392,752.405892612506,246.773301827949,0,1,50,1,0.18,270
"11",1,67,21,19,46.4784189417486,7.99502753127287,0.0503705679466523,0.00412540517905612,0.348719036262642,1,0.106173721949259,55.84,11.9808103201065,0.0605826874059632,0.008001716156308,0.145033087179615,20.0321599564129,0.127735954375886,12.2301488121351,757.870452480792,302.260621583853,0,1,50,0.2,0.12,135
"12",2,73,23,20,37.5325533693261,5.56770457400937,0.0913928527684401,0.00804847232470872,0.151417224549625,1,0.0972671310106913,40.5316,7.10388538160674,0.108762786719978,0.0142271530404698,0.0813852965595715,6.72692682136707,0.187126618351,9.85547504425049,780.774616817368,310.691694857299,1,1,50,0.4,0.12,135
"13",3,61,18,19,31.8907854516684,5.4946045231685,0.0874174023627208,0.00786547618465326,0.131806523584699,1,0.0750467459360758,32.7028,5.96609670420733,0.100908678925369,0.0142013847971053,0.0930475130811252,4.59307210553529,0.310731775369607,6.77606324752172,1237.8294327249,314.302407231068,1,1,50,0.599999999999999,0.12,135
"14",4,68,25,23,41.2579429320402,6.42793110261731,0.102287697554749,0.0112072597052102,0.101816017061112,1,0.0741150180498759,44.518,7.58698233294161,0.115632559714748,0.0148386170771836,0.0665820292830688,7.61691984570032,0.205290807017919,8.50847742160161,757.479523640488,342.342184055875,1,1,50,0.8,0.12,135
"15",5,89,26,25,39.3690995077032,5.2300751179803,0.106794320164935,0.00903164962530316,0.118242900140348,1,0.111522189776103,41.0564,6.05566573342601,0.11895792956466,0.0132745481376625,0.0830976315514403,7.22984638459222,0.226470818742575,9.92695207198461,1022.30400509601,362.391911788878,1,1,50,1,0.12,135
