"","sigma_true","freq","beta_true","N","N_scr","sigma","sigma_scr","N_better","sigma_better","N_SE","N_scr_SE","sigma_SE","sigma_scr_SE"
"1",0.12,135,0.2,46.1905457733513,40.7851216274748,0.0791358722957386,0.0604943348535721,0.72,1,100.183855349626,149.77211029315,0.00181455806127523,0.00360324399053002
"2",0.12,135,0.4,50.1254700845066,46.7668547565759,0.0967671242757622,0.081771231215133,0.48,0.98,72.0166691524619,60.1969581273064,0.000747996981724045,0.00158563039937827
"3",0.12,135,0.599999999999999,48.1966769527545,46.5796085265338,0.100722104004498,0.0898978136261903,0.68,0.96,48.6679337536436,49.5859365971797,0.000502749054762757,0.000988183498299651
"4",0.12,135,0.8,50.6577292026517,49.5315740801743,0.10546364746498,0.0951248366076456,0.42,0.92,45.0735289974898,37.86221136671,0.000397489464974012,0.000743277179284409
"5",0.12,135,1,49.7525905148479,49.5084611652616,0.114074592854966,0.102114600175243,0.44,0.78,68.2215070461199,60.9320877875272,0.00050322962138365,0.000551012201849154
"6",0.12,270,0.2,49.0277131756379,43.7640086723643,0.0722811477471129,0.0588977633946159,0.66,1,66.0782912475101,89.0572581376913,0.00237454751270903,0.00378333470597112
"7",0.12,270,0.4,48.2690981997303,45.3688247705276,0.093202767540676,0.0797433189572382,0.68,1,40.0184768083347,56.5558229493697,0.000792808117154847,0.00169558333840951
"8",0.12,270,0.599999999999999,49.118259010586,46.9123669260082,0.0996403858131269,0.0888461031898538,0.46,0.96,48.4362487515563,53.4752699799349,0.000520350077898377,0.00104895324035911
"9",0.12,270,0.8,48.4312465964293,46.7632541208302,0.105996858597757,0.0967858373539779,0.7,0.96,21.1088895065449,27.7240611581785,0.000282194682907601,0.000614856793722152
"10",0.12,270,1,48.5211129065922,47.6187584899602,0.108033444500926,0.0986592429571476,0.52,0.98,34.2084086594464,35.8643906837205,0.000204473733673073,0.000526025676684155
"11",0.18,135,0.2,46.6533436407039,43.7869112447892,0.136237589250989,0.0978858675433845,0.7,0.98,85.6185206174751,94.2389452379214,0.0141826332509772,0.00700354589139913
"12",0.18,135,0.4,47.7786683358358,46.501213798876,0.14842029410277,0.121781024267146,0.38,0.94,75.9269025882923,67.1160097187643,0.00636294903035502,0.00380730056808007
"13",0.18,135,0.599999999999999,45.4591527792584,45.7529458964451,0.173727186283124,0.144377511561436,0.48,0.82,59.1817583900593,52.7030345813039,0.00404740719998048,0.00169775344394758
"14",0.18,135,0.8,50.7604323180267,49.7061146281019,0.212398341556971,0.143924980108321,0.38,0.84,131.483756405809,49.2887496660716,0.0302383118991767,0.00166647626884312
"15",0.18,135,1,46.946070395492,47.5141535686149,0.178970682452661,0.159109445343489,0.34,0.68,69.7897133162569,63.5748036310398,0.00189272163415657,0.000997998568760451
"16",0.18,270,0.2,44.4173238756865,42.2120093880507,0.117434791382898,0.0956294157687232,0.76,1,104.130515399719,119.589898377569,0.00420328916714859,0.00731058761704528
"17",0.18,270,0.4,45.1241610349736,43.6318587046162,0.137768073089986,0.124129398010049,0.84,1,47.3405650609756,63.3719405388482,0.00191098362844071,0.00325803435550937
"18",0.18,270,0.599999999999999,46.9234858875867,46.4414422422902,0.148715255739898,0.136072389035072,0.64,0.94,34.2972050839799,37.6630052099262,0.00133913401346659,0.00224252795555131
"19",0.18,270,0.8,46.693101419923,46.8133020041034,0.158923631951469,0.145049913039135,0.6,0.94,33.9341326333757,31.9418595883373,0.000762894358550319,0.00145340074516561
"20",0.18,270,1,46.1533045476178,46.8161837102866,0.167454503220869,0.153407351709376,0.26,0.88,34.1176206325757,29.1424041393686,0.000416202930728379,0.000885319718911886
