,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,N_true,beta_true,sigma_true,freq
1,1,74,24,25,38.55029759,5.618447707,0.101264989,0.009335825,0.114461919,1,0.069243681,359.9621417,32.22746665,4.655908462,0.163808066,0.03455475,0.049388801,1.292128134,0.297458255,1,1.025908677,20,311.5501591,0,1,4096,50,0.2,0.18,135
2,2,59,26,23,45.07348533,8.486785082,0.141142265,0.023941187,0.038527814,1,0.081781399,327.3099948,44.43390526,9.867569716,0.172467112,0.040380022,0.024776107,18.55345953,0.096182089,1,0.679916469,20,294.8434748,0,1,4096,50,0.4,0.18,135
3,3,70,27,24,38.20611056,5.273323802,0.15630587,0.019128474,0.049810205,1,0.072294807,383.5218109,37.25629004,4.953253059,0.180404921,0.027159755,0.036469165,1.790139852,0.353565721,1,0.665167558,20,356.1140074,0,1,4096,50,0.6,0.18,135
4,4,48,23,21,42.33780317,8.244559138,0.11654271,0.016857859,0.053684975,1,0.070567779,261.5316002,42.07686053,8.650879128,0.129937284,0.02074763,0.04070208,58.49851139,0.090030907,1,0.433210349,20,243.2474178,0,1,4096,50,0.8,0.18,135
5,5,76,32,24,55.07190457,8.088862445,0.124593608,0.014106583,0.053037803,1,0.117690412,413.0940276,54.64205613,8.319774103,0.133414427,0.016743007,0.044652545,23.77827461,0.168729038,1,0.784196202,20,393.1026333,1,1,4096,50,1,0.18,135
6,6,178,34,25,49.95366565,5.252766506,0.088929831,0.004501096,0.263845737,1,0.214278094,702.3184636,50.6526426,6.044580446,0.117642232,0.010458312,0.089633982,26.63770529,0.072921365,1,2.32541916,20,399.6861952,0,1,4096,50,0.2,0.18,270
7,7,142,36,24,48.02279895,4.638881644,0.122636997,0.008431122,0.121740052,1,0.222416008,668.6793996,49.30383343,5.315943542,0.13760796,0.012313266,0.074919619,13.08727361,0.130668136,1,1.710848324,20,533.2368509,1,1,4096,50,0.4,0.18,270
8,8,145,34,25,41.64204915,3.556692752,0.141561195,0.009956392,0.111185496,1,0.204354465,690.4249577,41.89617816,3.749550778,0.149635107,0.012032586,0.086671055,32.76438808,0.124219197,1,2.012564762,20,593.3076207,1,1,4096,50,0.6,0.18,270
9,9,167,41,25,55.20520166,5.042152126,0.122156834,0.007855809,0.11872175,1,0.247290524,784.0858962,55.45344268,5.450525124,0.13657857,0.011384854,0.080190268,13.30309269,0.160050041,1,1.96799885,20,676.4025405,0,1,4096,50,0.8,0.18,270
10,10,154,40,25,49.80009995,4.22402779,0.153996104,0.012194974,0.080312537,1,0.18758599,772.9104623,48.47503824,4.036131035,0.169774166,0.014870093,0.065580321,35.93411736,0.130534182,1,2.245512795,20,699.8673284,0,1,4096,50,1,0.18,270
11,1,67,21,19,46.47841894,7.995027531,0.050370568,0.004125405,0.348719036,1,0.089009074,267.3948143,53.20005971,10.8032496,0.061695709,0.00786317,0.128642776,21.62504032,0.111929111,1,0.52872146,20,195.5714033,1,1,4096,50,0.2,0.12,135
12,2,73,23,20,37.53256316,5.567705357,0.091392836,0.008048469,0.151417295,1,0.075543551,341.5577459,39.26642857,6.831202213,0.108746254,0.014071196,0.074867347,6.461923422,0.168681269,1,0.513220596,20,276.9001477,1,1,4096,50,0.4,0.12,135
13,3,61,18,19,31.89074405,5.49459409,0.087417409,0.007865478,0.131806564,1,0.072236872,289.8444773,31.7702457,5.858552642,0.100568732,0.012508069,0.08434209,6.077021567,0.234178428,1,0.432472165,20,257.9486009,0,1,4096,50,0.6,0.12,135
14,4,68,25,23,41.25795936,6.427934472,0.102287687,0.011207256,0.101816014,1,0.050613368,337.5352218,42.93630827,7.521928668,0.117461713,0.015801873,0.060248995,8.984762821,0.166223355,1,0.501856196,20,297.3232839,1,1,4096,50,0.8,0.12,135
15,5,89,26,25,39.36909852,5.23007496,0.106794491,0.009031688,0.118242865,1,0.105314354,426.2875345,39.76805467,5.720564532,0.119864035,0.013048571,0.077655409,7.748138441,0.197830121,1,0.704756073,20,374.7180799,1,1,4096,50,1,0.12,135
16,6,237,30,23,57.1179219,7.405025233,0.049827874,0.001931673,0.950476795,1,0.184918888,610.659252,65.78024938,9.814588387,0.065075381,0.005530037,0.161287417,28.0175157,0.067519094,1,1.716933648,20,59.11549013,0,1,4096,50,0.2,0.12,270
17,7,152,26,24,39.28714129,4.815073199,0.082861533,0.004503456,0.311886117,1,0.179056255,567.8756928,43.09985387,6.044090486,0.09441915,0.008083924,0.123760627,34.93050466,0.073709352,1,1.050436389,20,289.2047429,1,1,4096,50,0.4,0.12,270
