"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","mu0_true","sigma_true","lambda0_true","lambda0_better"
"1",1,77,34,25,59.7703247871522,8.62576818378527,0.107548661962313,0.0109452368199346,0.0738987668046705,1,0.10679239432017,61.8064,8.87768237423119,0.107376719925731,0.0105593647869326,0.0745971833351572,6.88803418602242,0.773666646400918,11.6942356069883,847.128984127052,364.891137485736,0,0,50,0.00534680457902141,0.121372664608061,0.0577660497464595,0
"2",2,114,35,24,49.3309790879168,5.32679046160952,0.118779278076952,0.0091595286281786,0.108943169758205,1,0.13344232638677,50.2624,5.49399853002703,0.119050386238801,0.00951882989534312,0.108134513030336,7.88162108926564,0.784946190014929,12.8693172216415,1492.74689655053,504.558657218679,1,1,50,0.0090888759936206,0.120499489596114,0.0996230640571473,1
"3",3,102,32,24,44.1926259371198,4.98513613456331,0.130035820190791,0.0111957003079987,0.088814970736246,1,0.119855797290802,44.4528,4.87537484425031,0.132730425648181,0.0118010508474798,0.0881686384944475,7.84631838299317,0.862382671944933,11.5309346954028,1133.57863848291,385.746481503336,1,1,50,0.00971310866181739,0.143561831829138,0.0750067583435032,1
"4",4,66,32,22,56.7560369881579,9.30207846196242,0.126773102387783,0.0160884432471221,0.047389042096637,1,0.0937314669291178,59.5836,9.65104492307661,0.128132051112377,0.015541589362392,0.0461801837822979,5.00384499588357,0.701347036343356,10.8258137027423,725.812559641267,325.494000821675,0,1,50,0.00634690938168205,0.16883283355739,0.0354379515920555,1
"5",5,71,33,24,51.626343159096,7.60509791642649,0.163909420392641,0.0210610465736323,0.0343170485940953,1,0.0943132281303406,52.532,7.88468409622852,0.17273819416927,0.0293747794432941,0.0332132504743824,6.83021123414097,0.731019971594491,10.4640799999237,975.631213561347,190.003677742752,0,0,50,0.00584674061625265,0.142574907322414,0.0457770458824926,0
"6",6,56,23,20,33.8164682369969,5.1729171064262,0.145776093031041,0.0179074003188105,0.0533133794734846,1,0.0492103020350138,34.606,5.16718917183947,0.14671930084018,0.0172766368181292,0.0547969127543522,7.7434097086413,0.632540318101869,8.09966721137365,1424.39425643314,470.395983265861,1,0,50,0.00516947811236605,0.142848731023259,0.0403193998461507,0
"7",7,83,30,24,40.1227962881697,4.82023887003173,0.169558689888517,0.0197222347847277,0.0481418415664932,1,0.0942314664522807,41.1848,5.01923560419514,0.16860257128415,0.020143592205609,0.049141306578688,7.76547185066596,0.784763493476167,10.361231080691,1003.5589751026,303.562845598308,1,1,50,0.00589392502093688,0.135895102657378,0.0507945510613946,1
"8",8,94,34,25,49.1489690943818,5.85783261750342,0.136326378719052,0.0128335721433583,0.0668441422512308,1,0.139956124623617,49.9376,5.82519350680788,0.138179281225185,0.0133057722138049,0.0654548004515545,7.7055263676048,0.770279739435903,12.1250120123227,1300.07545701782,443.104078236262,1,1,50,0.00820832682773471,0.146360058984719,0.0609859256840071,1
"9",1,76,35,25,58.5919982777898,8.24066482591251,0.123973171821741,0.0127328005244658,0.0574540799804576,1,0.105453773339589,60.5468,8.41038070252617,0.124535854002018,0.0129873032489938,0.0571286821143851,6.68619451938171,0.7227542435188,12.9196987231572,837.045048375328,381.934680493793,0,1,50,0.006521384177031,0.145034399111755,0.0493421281725903,1
"10",2,119,38,24,50.4014297266417,5.08876551221806,0.150880674046886,0.0134016936210518,0.0669887532371703,1,0.15200750430425,51.5112,5.11831548669761,0.150506453432683,0.0131384062397921,0.0665268919278809,8.25386125358344,0.82710769661077,14.778827003638,1272.51030524495,373.321487377645,0,1,50,0.00737369454232976,0.14235749936197,0.0579088010367522,1
