,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,N,N_se,sigma,sigma_se,lambda0,beta,r,runtime,ess_N,ess_sigma,N_better,sigma_better,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
1,493,37,17,69.7611888,8.065669927,0.045912015,0.001226065,1.791385924,1,0.213213988,58.6492,7.905690314,0.087718921,0.015493325,0.242146668,0.07790877,0.373046915,34.56728359,123.3492164,35.2042943,1,1,0.2,0.12,0.01,0.25,50,0.110524266,1
2,412,36,22,60.59326745,6.653268174,0.05614018,0.001622565,1.305503001,1,0.210495253,48.4784,5.121017806,0.116220366,0.01701204,0.162102058,0.274133513,0.309276799,27.73208094,401.5840911,63.43830994,1,1,0.4,0.12,0.01,0.25,50,0.110524266,1
3,401,35,24,58.94302969,6.557748154,0.056517387,0.001661882,1.241082335,1,0.232728752,50.702,5.799331763,0.101610066,0.011017934,0.18469665,0.558940344,0.310248203,27.26496052,557.9408499,118.3397262,1,1,0.6,0.12,0.01,0.25,50,0.110524266,1
4,308,38,24,58.55588935,5.89885221,0.069750079,0.002369882,0.667916628,1,0.306614494,55.0204,6.200529208,0.11419118,0.013092727,0.122983965,0.606832872,0.280204904,23.43256106,457.7573614,137.8169123,1,1,0.8,0.12,0.01,0.25,50,0.110524266,1
5,201,30,25,41.48072095,4.3404681,0.087638674,0.004220929,0.392115285,1,0.170650224,40.7452,4.612416581,0.134427164,0.015179368,0.093233523,0.91504081,0.253000531,14.53927922,941.3092795,212.5092165,0,1,1,0.12,0.01,0.25,50,0.110524266,1
6,221,39,23,69.47258761,7.669487378,0.060969262,0.002399788,0.517781981,1,0.18409855,52.416,5.190618557,0.162849406,0.039279528,0.065394977,0.134712333,0.297544997,18.66045872,273.0643008,34.68741509,1,1,0.2,0.18,0.01,0.25,50,0.049121896,1
7,198,41,23,68.81310565,7.230285201,0.077578325,0.003540289,0.245950496,1,0.176622923,52.7384,4.431458063,0.237863617,0.044507005,0.029128287,0.364800096,0.203479669,17.40162576,1269.762586,81.59322133,1,1,0.4,0.18,0.01,0.25,50,0.049121896,1
8,167,41,24,68.02858451,7.279187487,0.084271846,0.00463155,0.188854061,1,0.169071595,56.0704,5.543152032,0.19757818,0.035211641,0.035550218,0.383962867,0.238255506,16.35185515,1006.4871,103.2472782,1,1,0.6,0.18,0.01,0.25,50,0.049121896,1
9,174,39,25,48.33273931,4.170588858,0.142631654,0.011269475,0.102891494,1,0.267244466,47.0688,3.571493915,0.229334616,0.033189534,0.036687174,1.026059867,0.205774457,16.33321328,1289.706459,170.6075209,0,0,0.8,0.18,0.01,0.25,50,0.049121896,1
10,168,40,25,49.13806316,3.948147919,0.144669575,0.009965644,0.102462571,1,0.254251246,50.2872,4.112162462,0.184723545,0.018977975,0.050907045,1.166975391,0.256093435,17.24018043,1227.417112,287.0922674,1,1,1,0.18,0.01,0.25,50,0.049121896,1
11,68,28,19,61.11814444,9.618494056,0.064555378,0.005898027,0.170841472,1,0.074713218,58.0964,10.31888069,0.116684522,0.053227376,0.069349464,0.006730914,0.662636893,10.1385765,289.8330433,26.10153694,1,1,0.2,0.12,0.005,0.5,50,0.055262133,1
