,sigma_true,mu0_true,r_true,beta_true,N,N_scr,sigma,sigma_scr,N_better,sigma_better,N_SE,N_scr_SE,sigma_SE,sigma_scr_SE
1,0.12,0.005,0.25,0.2,48.01246688,56.48887153,0.118407681,0.045719427,0.68,1,88.35712385,101.5277611,0.000842575,0.005557306
2,0.12,0.005,0.25,0.4,54.2121926,57.02454616,0.121739392,0.055035744,0.56,1,109.3215483,110.5904777,0.000562208,0.004290781
3,0.12,0.005,0.25,0.6,50.48421045,52.86625248,0.124088325,0.065082052,0.32,0.96,86.81191762,79.16020489,0.000609623,0.003121546
4,0.12,0.005,0.25,0.8,46.23808857,47.48364687,0.132222292,0.074855265,0.32,0.76,80.09557035,63.26116466,0.000601282,0.00214558
5,0.12,0.005,0.25,1,52.69154084,51.71128726,0.122318496,0.075556819,0.28,0.88,84.48899852,38.35002781,0.00041399,0.002109236
6,0.12,0.005,0.5,0.2,53.86908905,56.47565046,0.144550158,0.074597993,0.64,0.88,274.8740439,129.4079701,0.023950148,0.002241656
7,0.12,0.005,0.5,0.4,51.82925277,54.99979635,0.121031663,0.088106902,0.68,0.76,84.67443576,110.9724761,0.00057031,0.001187163
8,0.12,0.005,0.5,0.6,52.21679206,55.30221628,0.119068735,0.090620266,0.56,0.72,93.92211494,124.3702644,0.000564504,0.001093745
9,0.12,0.005,0.5,0.8,49.34229854,50.97872103,0.114573022,0.093616032,0.44,0.8,145.4036217,117.1651709,0.000660254,0.001017555
10,0.12,0.005,0.5,1,48.53069721,50.0434269,0.122513746,0.10362951,0.48,0.68,57.44627561,55.13290467,0.000480284,0.0005737
11,0.12,0.01,0.25,0.2,52.63505435,69.72634949,0.119143754,0.045977519,0.96,1,109.4323414,421.0740374,0.000816082,0.005506828
12,0.12,0.01,0.25,0.4,49.35196174,63.09034963,0.127854611,0.054120807,0.88,1,33.24479893,217.9207944,0.00057424,0.004357884
13,0.12,0.01,0.25,0.6,50.20992266,59.17038637,0.124678051,0.062767543,0.72,1,55.44272902,133.8213918,0.000505287,0.003331959
14,0.12,0.01,0.25,0.8,49.13818184,55.35348304,0.119665446,0.06894808,0.72,1,31.23404194,62.93672334,0.000233086,0.002652039
15,0.12,0.01,0.25,1,49.6508989,53.89690641,0.120418094,0.074773788,0.72,1,25.90897639,46.48595402,0.000180077,0.002110817
16,0.12,0.01,0.5,0.2,48.104348,55.88699912,0.124437034,0.081171256,0.68,0.88,34.77185095,90.46835215,0.000568781,0.001612688
17,0.12,0.01,0.5,0.4,49.33653291,54.65731418,0.124705642,0.089691269,0.6,0.88,51.17996,78.24806825,0.000362344,0.000983007
18,0.12,0.01,0.5,0.6,51.48069326,54.9872621,0.115264428,0.092943738,0.72,0.88,29.51542596,52.44980428,0.000243634,0.000805272
19,0.12,0.01,0.5,0.8,50.4638915,53.59902312,0.120679385,0.10070282,0.72,0.76,14.25810735,42.7410522,0.000174138,0.000532372
20,0.12,0.01,0.5,1,49.70590786,51.38052617,0.118108356,0.105408195,0.6,0.68,19.41418607,30.94685483,0.000110125,0.000307631
21,0.18,0.005,0.25,0.2,52.14612849,58.71682783,0.200533566,0.06743678,0.72,0.88,98.98079298,131.6372603,0.007355491,0.01294054
22,0.18,0.005,0.25,0.4,54.6142696,59.21516295,0.172919256,0.083301136,0.68,1,86.86105818,136.2305415,0.002062759,0.009619686
23,0.18,0.005,0.25,0.6,51.84967396,54.28542341,0.175236144,0.102051233,0.52,0.88,61.28441515,77.45869674,0.002468664,0.006548583
24,0.18,0.005,0.25,0.8,49.0389129,49.47165978,0.186307723,0.116308028,0.24,0.88,122.6759535,95.17242868,0.004153003,0.004731177
25,0.18,0.005,0.25,1,53.19839878,53.35368336,0.177044101,0.124806996,0.68,0.84,67.62673541,86.14022462,0.001423127,0.003853145
26,0.18,0.005,0.5,0.2,53.17584734,56.65846859,0.198954425,0.109530314,0.56,0.84,81.24123817,127.7672704,0.006953422,0.005192086
27,0.18,0.005,0.5,0.4,51.76260943,53.32405006,0.17681029,0.123941402,0.68,0.8,76.30408209,72.64313361,0.004247789,0.003681448
28,0.18,0.005,0.5,0.6,52.88298461,54.06203606,0.207851942,0.138658109,0.48,0.64,119.746976,135.0057371,0.011048307,0.002171615
29,0.18,0.005,0.5,0.8,52.35920975,52.11513233,0.243886065,0.141514178,0.48,0.76,176.8338365,99.11674951,0.037343005,0.002045289
30,0.18,0.005,0.5,1,52.75373703,49.75354001,0.249503007,0.150226177,0.48,0.56,203.8589544,65.23857876,0.029951667,0.001440927
31,0.18,0.01,0.25,0.2,49.91743969,65.82694641,0.177758643,0.069199607,0.96,1,13.19013792,283.2645365,0.001152088,0.012354459
32,0.18,0.01,0.25,0.4,50.68562181,59.83639084,0.18447713,0.089805475,0.8,1,19.47506726,148.5874609,0.000890005,0.008358679
33,0.18,0.01,0.25,0.6,49.43776387,55.21026396,0.180327845,0.104759336,0.64,0.96,27.40191151,86.78705989,0.000570719,0.005924221
34,0.18,0.01,0.25,0.8,48.89846029,52.61935312,0.193082413,0.120965087,0.72,0.84,13.97069399,33.31442675,0.000748009,0.003847972
35,0.18,0.01,0.25,1,48.64053079,51.63455966,0.182470085,0.125072845,0.44,0.92,19.06473455,32.62732135,0.000438535,0.003294569
36,0.18,0.01,0.5,0.2,50.01993547,54.7218703,0.17622868,0.115658707,0.72,0.92,17.50856992,48.44494906,0.001198254,0.00429247
37,0.18,0.01,0.5,0.4,49.2507614,51.79674087,0.195488911,0.137228128,0.32,0.76,22.35779889,27.67146449,0.002362548,0.002153182
38,0.18,0.01,0.5,0.6,49.44466764,50.64407316,0.183533231,0.146595029,0.64,0.72,23.87281447,29.43732636,0.000956283,0.001428389
39,0.18,0.01,0.5,0.8,51.27485998,51.96004076,0.204134354,0.148435663,0.6,0.64,29.78756699,20.6973073,0.017128242,0.001299365
40,0.18,0.01,0.5,1,48.95978526,50.55490209,0.191714713,0.158360541,0.6,0.64,15.86348567,26.41263472,0.000408468,0.000823786
