,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
1,493,37,17,69.76118878,8.065671226,0.045912015,0.001226065,1.791385924,1,0.207618594,701.8744132,54.6358022,7.257763627,0.094408132,0.017665123,0.193865696,0.104268473,0.336885033,1,3.551315335,20,450.5802009,1,1,4096,0.2,0.12,0.01,0.25,50,0.110524266,1
2,412,36,22,60.5932661,6.653267434,0.05614018,0.001622565,1.305502978,1,0.21250391,821.7523882,45.96607624,4.615033974,0.121218981,0.01706405,0.146029106,0.290341775,0.2947947,1,2.782453565,20,515.9198627,1,1,4096,0.4,0.12,0.01,0.25,50,0.110524266,1
3,401,35,24,58.94302967,6.55774944,0.056517387,0.001661882,1.241082331,1,0.22632788,849.0248357,48.75609856,5.750027941,0.105017368,0.012712258,0.166585057,0.571846592,0.295021692,1,2.141142452,20,530.8953656,1,1,4096,0.6,0.12,0.01,0.25,50,0.110524266,1
4,308,38,24,58.5559305,5.898858172,0.069749897,0.002369867,0.667918447,1,0.227316523,891.5218135,53.31766779,6.11128743,0.116095139,0.013300065,0.115102474,0.626524122,0.270729186,1,1.688975962,20,562.6006512,1,1,4096,0.8,0.12,0.01,0.25,50,0.110524266,1
5,201,30,25,41.4807119,4.340465668,0.08763868,0.00422093,0.392115114,1,0.164667722,700.9295161,39.22047832,4.380610031,0.13763829,0.015642238,0.087447273,0.932783208,0.244274244,1,1.001096956,20,479.5783563,0,1,4096,1,0.12,0.01,0.25,50,0.110524266,1
6,221,39,23,69.47257534,7.66949008,0.060969264,0.002399789,0.517781927,1,0.170574057,730.0095151,49.35340869,4.475397241,0.179468568,0.043111143,0.048440583,0.161482809,0.256718296,1,1.235034351,20,566.2856728,1,1,4096,0.2,0.18,0.01,0.25,50,0.049121896,1
7,198,41,23,68.81317305,7.230295844,0.077578317,0.003540288,0.245950575,1,0.171961649,799.280256,50.65885271,3.959805221,0.264029653,0.057073268,0.022664761,0.388987252,0.178326175,1,1.03730309,20,621.9510159,1,1,4096,0.4,0.18,0.01,0.25,50,0.049121896,1
8,167,41,24,68.02853504,7.27918008,0.084272096,0.004631584,0.188853509,1,0.20108643,722.7999298,53.74767023,4.937791124,0.213283122,0.042458457,0.029312057,0.403365782,0.214981583,1,0.859458514,20,562.7494283,1,1,4096,0.6,0.18,0.01,0.25,50,0.049121896,1
9,174,39,25,48.33273993,4.170594176,0.142631652,0.011269475,0.102891495,1,0.22940826,824.0386609,45.65310905,3.344803127,0.233352417,0.032880105,0.034706972,1.043247884,0.198889345,1,0.867925775,20,631.6140336,0,0,4096,0.8,0.18,0.01,0.25,50,0.049121896,1
10,168,40,25,49.13814019,3.948164968,0.144669075,0.009965564,0.102462866,1,0.178036316,805.9780793,48.86609753,3.942671584,0.189282542,0.02012485,0.04810681,1.182070963,0.247077594,1,0.784921706,20,660.2561369,0,1,4096,1,0.18,0.01,0.25,50,0.049121896,1
11,68,28,19,61.11814444,9.618494056,0.064555378,0.005898027,0.170841472,1,0.082213902,321.2918396,120.6858289,168.3739832,0.880479821,0.861500928,0.001210846,0.185247215,0.073761141,1,0.522245252,20,301.4357815,0,0,4096,0.2,0.12,0.005,0.5,50,0.055262133,1
12,70,31,24,60.88701344,9.13701841,0.08438099,0.008097079,0.107936756,1,0.085590982,355.5759209,60.74497766,9.883051013,0.109718961,0.016392233,0.05341116,0.514507324,0.434818693,1,0.531572966,20,326.9499081,1,1,4096,0.4,0.12,0.005,0.5,50,0.055262133,1
13,46,23,20,55.1431012,10.77120498,0.067988535,0.008345531,0.116710471,1,0.057480474,234.6392507,48.97211487,11.03736898,0.106783018,0.029061519,0.047958046,0.525885869,0.460801711,1,0.339939733,20,221.9643742,1,1,4096,0.6,0.12,0.005,0.5,50,0.055262133,1
14,70,34,20,69.03335878,10.52923202,0.092151388,0.009378944,0.078281418,1,0.099556422,368.8655079,68.18753114,10.60539277,0.104934331,0.015027897,0.056871452,0.683908187,0.635303465,1,0.55790389,20,357.5735621,1,1,4096,0.8,0.12,0.005,0.5,50,0.055262133,1
15,61,27,23,42.90401604,6.651433437,0.131304027,0.015384444,0.056573898,1,0.054669698,332.2716169,44.79195199,7.058243295,0.140090722,0.020090177,0.042195368,0.944913714,0.470012346,1,0.506055284,20,315.5821909,1,0,4096,1,0.12,0.005,0.5,50,0.055262133,0
16,62,29,19,57.4457812,9.866727639,0.110037018,0.013664491,0.052737241,1,0.085441848,337.2550231,51.90250468,10.73889877,0.315118571,0.152300756,0.00788144,0.261254907,0.262402685,1,0.463641524,20,319.9196316,1,0,4096,0.2,0.18,0.005,0.5,50,0.024560948,1
17,80,28,25,46.22509811,6.802262812,0.118306797,0.012837162,0.067343878,1,0.129600159,417.1936396,40.51471418,5.395410888,0.183048313,0.054977821,0.031312741,0.244550269,0.635286988,1,0.598974005,20,402.8841921,0,1,4096,0.4,0.18,0.005,0.5,50,0.024560948,1
18,66,35,20,58.39457717,9.030546095,0.155386621,0.019206306,0.03353305,1,0.093113069,380.1968937,61.35428539,9.673246914,0.178772788,0.040777207,0.021999992,0.751610397,0.485721739,1,0.61448348,20,363.1989247,0,1,4096,0.6,0.18,0.005,0.5,50,0.024560948,1
19,35,23,19,68.18941345,18.01107566,0.082321773,0.014145752,0.049518844,1,0.061345148,195.0550507,64.7908591,20.74613879,0.094070056,0.05063133,0.03935992,0.576129349,0.96586242,1,0.545606776,20,191.5650813,1,1,4096,0.8,0.18,0.005,0.5,50,0.024560948,1
20,55,29,22,47.21930389,7.915130056,0.164457078,0.022359966,0.031119313,1,0.076738711,318.3540684,50.95509414,8.849953578,0.187466351,0.036698827,0.019812524,0.804549913,0.359110283,1,0.422877729,20,297.2310079,1,1,4096,1,0.18,0.005,0.5,50,0.024560948,1
21,173,36,24,58.4998063,6.525143616,0.075787387,0.003974589,0.317581077,1,0.27796425,659.4411688,49.77294596,5.75297976,0.118353094,0.022652947,0.114053334,0.148139809,0.519578147,1,1.449944107,20,581.9014713,1,1,4096,0.2,0.12,0.01,0.5,50,0.110524266,1
22,127,30,24,44.0711455,5.071117413,0.096921626,0.0061979,0.186690071,1,0.187274607,553.1548735,41.62847131,4.993127492,0.123808758,0.020531564,0.09700275,0.389309198,0.504645508,1,0.951066685,20,488.0365646,0,1,4096,0.4,0.12,0.01,0.5,50,0.110524266,1
23,134,35,25,54.28358963,6.185641585,0.092069242,0.006204994,0.179828113,1,0.208224813,588.4529838,50.9569945,5.783028231,0.110517687,0.011238521,0.117603174,1.222867277,0.450252653,1,0.952181419,20,530.2950523,1,1,4096,0.6,0.12,0.01,0.5,50,0.110524266,1
24,165,42,25,68.97923734,7.225702465,0.08313585,0.004452466,0.207155425,1,0.221311402,708.7693772,60.80437268,6.378151298,0.113071814,0.013617476,0.112171012,0.556200879,0.530288348,1,1.231801037,20,652.2922958,1,1,4096,0.8,0.12,0.01,0.5,50,0.110524266,1
25,195,39,25,54.24188991,5.166239882,0.102468482,0.005821644,0.192591032,1,0.328937022,814.526887,52.34745083,4.917555009,0.114986068,0.01004058,0.141701219,0.791155655,0.525325218,1,1.725852104,20,724.7519362,1,1,4096,1,0.12,0.01,0.5,50,0.110524266,1
26,185,42,25,50.56667873,3.962473479,0.146662632,0.010962273,0.107950407,1,0.262270617,875.5996579,49.95038892,3.630635336,0.195804371,0.034322672,0.049099592,0.21426099,0.475108383,1,1.660823174,20,762.7517565,1,1,4096,0.2,0.18,0.01,0.5,50,0.049121896,1
