,sigma_true,mu0_true,r_true,beta_true,N,N_scr,sigma,sigma_scr,N_better,sigma_better,N_SE,N_scr_SE,sigma_SE,sigma_scr_SE
1,0.12,0.005,0.25,0.2,49.50375212,73.71206839,0.146230216,0.046634389,1,0.923076923,64.9473809,650.1526276,0.004971154,0.005426173
2,0.12,0.005,0.25,0.4,53.95108492,66.45717233,0.11782903,0.058194884,0.769230769,0.923076923,176.3730905,504.598402,0.000786881,0.003919959
3,0.12,0.005,0.25,0.6,56.3923467,65.38180955,0.108709837,0.062333453,0.769230769,1,133.7067977,378.7117591,0.00056233,0.003473886
4,0.12,0.005,0.25,0.8,50.9669511,61.1761842,0.127084962,0.067055588,0.615384615,0.923076923,122.6368466,293.9083192,0.000482023,0.002853575
5,0.12,0.005,0.25,1,48.00201221,50.28305542,0.124176378,0.082183352,0.461538462,0.769230769,76.87429332,87.43362656,0.000611703,0.00165828
6,0.12,0.005,0.5,0.2,56.36882669,61.87085139,0.187291233,0.075938894,0.692307692,0.769230769,325.1145613,294.573471,0.055649052,0.002081799
7,0.12,0.005,0.5,0.4,52.20815646,57.96615696,0.121243077,0.083745077,0.692307692,1,64.68592891,116.6538347,0.000221044,0.001390398
8,0.12,0.005,0.5,0.6,52.44189059,56.8259287,0.117264706,0.088661629,0.615384615,0.846153846,85.48963454,105.7928887,0.000439267,0.001207202
9,0.12,0.005,0.5,0.8,50.28394157,54.77787085,0.126037921,0.095695866,0.538461538,0.692307692,97.99876922,143.7363714,0.000491359,0.000788882
10,0.12,0.005,0.5,1,47.25968913,51.65901604,0.167032606,0.098008611,0.384615385,0.461538462,130.4353213,122.1347982,0.012220392,0.000688132
11,0.12,0.01,0.25,0.2,48.78567719,80.62118156,0.130930204,0.048333431,0.923076923,0.923076923,120.4194314,1181.099794,0.001017925,0.00519353
12,0.12,0.01,0.25,0.4,45.91644722,70.75639143,0.141628112,0.056995344,0.769230769,0.923076923,53.58257809,541.4886618,0.001289705,0.004016415
13,0.12,0.01,0.25,0.6,51.26624852,70.65565531,0.122700671,0.059918572,0.923076923,1,50.83868812,551.2069413,0.000451595,0.003662853
14,0.12,0.01,0.25,0.8,46.21730556,60.20217987,0.124095024,0.06690721,0.692307692,1,48.94193285,128.6471572,0.000280386,0.002847542
15,0.12,0.01,0.25,1,47.30632549,57.28420055,0.126563249,0.076031212,0.615384615,0.923076923,47.57438805,159.6475721,0.000408661,0.001976553
16,0.12,0.01,0.5,0.2,50.56631365,63.10330485,0.124903953,0.081813904,0.769230769,0.923076923,71.86718309,269.9693327,0.000979012,0.001518182
17,0.12,0.01,0.5,0.4,50.81556263,60.22466663,0.124609338,0.089809676,0.769230769,0.846153846,46.53807951,150.8623719,0.000303326,0.000960856
18,0.12,0.01,0.5,0.6,46.22532008,53.28205747,0.129283995,0.096555095,0.384615385,0.846153846,60.76178435,68.6309594,0.000245315,0.000604039
19,0.12,0.01,0.5,0.8,50.38611099,56.85014631,0.12406602,0.096171213,0.538461538,0.923076923,77.74358803,134.0074727,0.000448895,0.000669861
20,0.12,0.01,0.5,1,45.29063066,49.99466771,0.127670927,0.103404639,0.230769231,0.538461538,88.55151567,43.1620511,0.000361088,0.000436301
21,0.18,0.005,0.25,0.2,53.14466811,78.68803497,0.200003739,0.065230769,1,0.923076923,101.25623,1060.758737,0.005566681,0.013289572
22,0.18,0.005,0.25,0.4,53.8713576,74.71801507,0.17268544,0.072777522,0.923076923,1,65.35903562,759.2267772,0.001179292,0.011627752
23,0.18,0.005,0.25,0.6,53.95079086,70.44376713,0.194152363,0.086234759,0.923076923,0.846153846,55.63468798,535.3872076,0.004593474,0.009034687
24,0.18,0.005,0.25,0.8,50.41589139,60.90427418,0.214454509,0.10024477,0.769230769,0.769230769,79.90747822,258.2083135,0.009489386,0.006646258
25,0.18,0.005,0.25,1,48.56199491,58.95336501,0.192452778,0.106934447,0.538461538,0.846153846,137.9938653,309.5638543,0.002302464,0.005763969
26,0.18,0.005,0.5,0.2,51.59489881,57.21167741,0.263160645,0.108814966,0.416666667,0.583333333,164.0007603,173.2564673,0.029348738,0.005268238
27,0.18,0.005,0.5,0.4,49.60717785,56.83993525,0.179602892,0.113641733,0.461538462,0.923076923,117.4542883,187.035951,0.001481114,0.004760981
28,0.18,0.005,0.5,0.6,53.78698347,59.19572352,0.174698667,0.123457154,0.769230769,0.692307692,90.46133318,205.2131961,0.002951889,0.003711762
29,0.18,0.005,0.5,0.8,48.02377305,50.08208522,0.203390534,0.150109181,0.538461538,0.538461538,64.60030695,79.55811331,0.003238332,0.00166505
30,0.18,0.005,0.5,1,49.96394537,56.20884404,0.207857507,0.135723895,0.692307692,0.384615385,69.56813019,151.7206327,0.005226335,0.002590318
31,0.18,0.01,0.25,0.2,50.50081999,82.68962124,0.197017569,0.067306416,1,0.923076923,24.60151798,1169.496526,0.004991824,0.012750193
32,0.18,0.01,0.25,0.4,48.42684253,71.39565874,0.18483646,0.079669549,0.923076923,1,28.8419396,565.1151278,0.000827792,0.010213449
33,0.18,0.01,0.25,0.6,48.35490738,68.25776353,0.186482235,0.087796041,0.769230769,1,35.52566261,505.6062421,0.000616966,0.008616805
34,0.18,0.01,0.25,0.8,49.53953652,66.7428441,0.189699884,0.094836416,0.923076923,1,46.19533863,411.0897403,0.001297603,0.007370291
35,0.18,0.01,0.25,1,49.56684013,64.10997315,0.184820142,0.100089964,0.846153846,1,53.86923616,357.6148859,0.001120528,0.006628773
36,0.18,0.01,0.5,0.2,51.53823011,62.32215994,0.185468677,0.114398043,0.769230769,0.769230769,58.2976637,224.1426122,0.00313321,0.004476122
37,0.18,0.01,0.5,0.4,48.25234934,56.50638187,0.196332163,0.127320134,0.538461538,0.769230769,29.55444577,93.83660633,0.002775416,0.002993563
38,0.18,0.01,0.5,0.6,49.55231593,58.29886775,0.196608594,0.130160003,0.769230769,0.923076923,28.46763186,84.45800443,0.002878178,0.002636762
39,0.18,0.01,0.5,0.8,48.87298342,54.03816907,0.187997007,0.142841391,0.538461538,0.538461538,69.79667954,117.9897581,0.001199553,0.001773282
40,0.18,0.01,0.5,1,50.78072722,56.78425454,0.182929306,0.139420093,0.538461538,0.846153846,30.70926997,68.2537086,0.000514586,0.0018898
