,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
1,1,534,33,24,80.87761113,11.10565273,0.047763469,0.001300338,1.42246482,1,0.342803164,960.2107002,50.23331358,8.231794668,0.121801034,0.027302703,0.113238992,0.133572185,0.249982776,1,4.490159106,20,566.4601045,1,1,4096,0.2,0.12,0.01,0.25,50,0.107279856,1
2,2,561,34,25,86.9083294,11.93824176,0.046324333,0.001388733,1.238989261,1,0.455987263,1087.75972,44.1697197,6.089101268,0.175167441,0.057259903,0.055064848,0.384190475,0.174696498,1,4.883808076,20,693.4551487,1,1,4096,0.4,0.12,0.01,0.25,50,0.051869655,1
3,3,487,34,24,71.30782362,9.143290166,0.060455744,0.001856082,0.936930402,1,0.384423284,1125.207272,59.30482569,8.315986452,0.100710511,0.013028342,0.149504008,0.613043628,0.282410646,1,4.120924759,20,663.9731031,1,1,4096,0.6,0.12,0.01,0.25,50,0.156917195,1
4,4,326,30,24,55.11831478,7.14006232,0.072898136,0.002663527,0.67424632,1,0.262190072,927.5205202,42.35670121,5.183054312,0.140811577,0.018127157,0.085076953,0.985906758,0.212324543,1,2.537387542,20,592.1908702,0,1,4096,0.8,0.12,0.01,0.25,50,0.080268179,1
5,5,357,39,24,76.18211395,8.934726872,0.070905131,0.002520156,0.543315571,1,0.396568799,1065.345638,57.80842233,7.059987005,0.130502156,0.018071162,0.095698946,0.94796215,0.243647261,1,2.400985702,20,720.5413995,1,1,4096,1,0.12,0.01,0.25,50,0.093451174,1
6,6,361,39,25,74.36344589,8.655929085,0.076361938,0.002848899,0.405650021,1,0.475937382,1162.783346,48.8975004,4.80315865,0.185318272,0.038454339,0.053089427,0.288961128,0.262237397,1,2.639107001,20,884.8006649,1,1,4096,0.2,0.18,0.01,0.25,50,0.046342947,1
7,7,351,37,22,72.41799573,8.877327673,0.07248342,0.003043009,0.470900427,1,0.398968403,1069.246075,53.33357371,7.191797099,0.136612614,0.025401865,0.088962493,0.472455,0.311361557,1,2.603555961,20,821.8935278,1,1,4096,0.4,0.18,0.01,0.25,50,0.085278298,1
8,8,241,32,25,53.06277732,6.583895347,0.094627828,0.004994612,0.262477597,1,0.298002847,873.8469264,42.29016548,4.548107254,0.16813103,0.023354823,0.058805049,0.627487399,0.278188359,1,1.515175323,20,689.9606445,0,1,4096,0.6,0.18,0.01,0.25,50,0.056302073,1
9,9,297,43,25,68.11877407,7.262806419,0.107569022,0.005834685,0.172310224,1,0.417939893,1193.374223,58.14960682,5.684766712,0.172791269,0.021297343,0.050388839,0.933178534,0.255296398,1,1.854698312,20,935.5075233,1,1,4096,0.8,0.18,0.01,0.25,50,0.053306055,1
10,10,229,39,25,62.34926349,7.020610328,0.105519182,0.006057391,0.181140834,1,0.299252228,942.4501828,53.65465935,5.608000342,0.156767418,0.016009252,0.064644334,1.278011093,0.271551363,1,1.416910116,20,779.9654933,1,1,4096,1,0.18,0.01,0.25,50,0.06476025,1
11,1,113,28,24,64.82241642,10.18502535,0.080949866,0.005821326,0.135674432,1,0.145317419,509.8477543,56.17618088,10.8936699,0.120246631,0.033502013,0.053947732,0.084723115,0.53982941,1,0.858823339,20,456.8060813,1,1,4096,0.2,0.12,0.005,0.5,50,0.055035676,1
12,2,129,30,25,57.34836683,8.40843324,0.095126087,0.007076925,0.14432168,1,0.187321254,568.0195368,55.27935108,8.585383809,0.128013261,0.020161521,0.055342913,0.315022803,0.458894749,1,0.994991569,20,514.4136375,1,1,4096,0.4,0.12,0.005,0.5,50,0.048560172,1
13,3,102,28,24,46.75576424,7.556098876,0.125508848,0.013624247,0.081029934,1,0.115778748,505.6713815,50.67718309,8.003617247,0.126691878,0.014890735,0.059931755,1.090958488,0.548079911,1,0.734615167,20,482.7005309,1,0,4096,0.6,0.12,0.005,0.5,50,0.049578409,1
14,4,68,20,23,36.35258127,7.253491456,0.117520987,0.015322694,0.078300758,1,0.082562085,338.0662985,35.08169876,6.91351971,0.128791343,0.021841084,0.061265578,0.86837687,0.613280144,1,0.528062288,20,319.9845304,0,0,4096,0.8,0.12,0.005,0.5,50,0.0479752,1
15,5,84,25,22,44.70306976,7.992708962,0.11509077,0.013007008,0.088665486,1,0.114023153,410.3873616,37.15584783,5.810371774,0.163682803,0.024906281,0.046177349,1.397494118,0.367726295,1,0.58400437,20,374.9475249,0,0,4096,1,0.12,0.005,0.5,50,0.029701886,1
16,6,77,20,23,41.44009561,7.702217614,0.099172629,0.009715202,0.094776656,1,0.136733754,370.0403834,29.84943303,5.299788685,0.211719344,0.089633089,0.022554526,0.181026684,0.407907471,1,0.515533821,20,342.5070609,0,1,4096,0.2,0.18,0.005,0.5,50,0.01775289,1
17,7,77,25,23,48.65653011,8.779039526,0.114448959,0.012877724,0.070122164,1,0.131817337,392.3542638,42.4589898,7.437155094,0.186625826,0.051444222,0.023142299,0.312897962,0.407892398,1,0.561127889,20,366.3643073,0,1,4096,0.4,0.18,0.005,0.5,50,0.022847919,1
18,8,71,29,24,67.42870472,12.75417694,0.106948709,0.013407336,0.05475041,1,0.104481363,378.3824707,69.09279259,14.70035594,0.107046535,0.022869807,0.050745294,1.028043672,0.854315276,1,0.654576178,20,367.084101,0,1,4096,0.6,0.18,0.005,0.5,50,0.069445628,0
19,9,80,30,24,44.14021865,7.077016309,0.17667102,0.024620067,0.039383232,1,0.11464258,441.2508463,42.72445806,6.257377878,0.203039238,0.035002611,0.028512789,2.414838293,0.429640118,1,0.565640811,20,415.866169,0,0,4096,0.8,0.18,0.005,0.5,50,0.019303239,1
20,10,52,27,23,60.83042271,14.19318029,0.135056394,0.021812836,0.030471799,1,0.075097414,295.9474703,59.54836594,13.78251136,0.136287957,0.022235934,0.030528345,920047904.4,0.248081188,1,0.544987496,20,292.4045321,1,1,4096,1,0.18,0.005,0.5,50,0.042842536,1
21,1,286,26,25,52.25781519,7.823330545,0.08255412,0.003898256,0.29927385,1,0.346303976,942.7406393,40.10892012,6.469781934,0.130354658,0.023103426,0.099076383,0.269159671,0.450976021,1,2.1334873,20,792.9940304,0,1,4096,0.2,0.12,0.01,0.5,50,0.093662775,1
22,2,256,31,25,58.62591085,7.988076859,0.091041979,0.00471564,0.237207517,1,0.318400109,925.2242945,53.49926033,8.201408236,0.117286354,0.017401731,0.103482385,0.222280568,0.524053836,1,1.791186857,20,795.0999206,1,1,4096,0.4,0.12,0.01,0.5,50,0.115697815,1
23,3,271,29,25,50.7008493,6.853049447,0.096451287,0.004987854,0.249663492,1,0.288583541,951.8997825,44.89318881,6.305267602,0.123289902,0.014895873,0.124015741,0.736383294,0.497104566,1,2.078516153,20,818.2207866,0,1,4096,0.6,0.12,0.01,0.5,50,0.104704444,1
24,4,269,35,25,73.66033828,9.785005371,0.082768355,0.003970721,0.241173176,1,0.324770081,997.4161962,67.02375014,9.472173851,0.09828375,0.009970267,0.152471387,1.000578195,0.565171677,1,1.799326575,20,893.2088673,1,1,4096,0.8,0.12,0.01,0.5,50,0.164761863,1
25,5,254,35,25,50.85183835,5.921180169,0.126588824,0.008420052,0.149611198,1,0.349492157,1045.275914,55.67705246,7.196332182,0.12618029,0.012931516,0.102470217,1.316396053,0.465388841,1,1.865333001,20,894.359845,0,1,4096,1,0.12,0.01,0.5,50,0.099962495,1
26,6,304,38,25,62.89459304,7.498464328,0.112622723,0.006448722,0.14875396,1,0.472345567,1223.534475,48.84257684,5.058219021,0.199140395,0.041014427,0.042839719,0.17135843,0.442645159,1,2.114044766,20,1083.664436,1,1,4096,0.2,0.18,0.01,0.5,50,0.04013298,1
27,7,208,31,25,49.70895482,6.688356047,0.120655249,0.008879698,0.124100183,1,0.29071461,889.6338537,43.61250697,6.056900446,0.157431623,0.029587211,0.067354195,0.420791351,0.613154776,1,1.479582115,20,823.7584479,0,1,4096,0.4,0.18,0.01,0.5,50,0.064214955,1
28,8,216,37,25,56.9899907,7.279317383,0.129808039,0.01036108,0.106153627,1,0.293183708,964.2174347,45.04531819,4.091007531,0.363475504,0.106541142,0.01393502,0.577388721,0.248283417,1,1.304346641,20,858.1034671,1,0,4096,0.6,0.18,0.01,0.5,50,0.012046748,1
29,9,177,33,25,58.06913214,8.133003616,0.116701142,0.009052913,0.102005755,1,0.237948386,803.083239,43.84646066,5.173456009,0.180984523,0.02821802,0.051204604,0.917758953,0.48709263,1,1.206670396,20,730.2039736,1,1,4096,0.8,0.18,0.01,0.5,50,0.048588921,1
30,10,178,39,25,64.30000553,8.508602188,0.123872241,0.01005839,0.100402711,1,0.250420554,827.5941902,58.13277758,7.00322271,0.162182706,0.020795874,0.050665593,0.883908908,0.525074421,1,1.154740087,20,784.7769887,1,1,4096,1,0.18,0.01,0.5,50,0.060507756,1
31,1,244,25,25,68.03090015,11.18498902,0.051183334,0.002058149,0.613923062,1,0.217098204,686.0075561,52.78108062,9.693719105,0.105254037,0.020472065,0.079482516,0.213824878,0.291244201,1,2.051742884,20,508.7696151,1,1,4096,0.2,0.12,0.005,0.25,50,0.071831116,1
32,2,167,26,23,62.88721073,9.933070569,0.065374432,0.003402959,0.334542335,1,0.177489328,606.9195662,55.4890464,10.06291138,0.120511951,0.019902986,0.049766127,0.504639327,0.23391433,1,1.240326885,20,441.5378274,1,1,4096,0.4,0.12,0.005,0.25,50,0.054793609,1
33,3,131,22,21,75.47887624,14.16526475,0.039873226,0.00233751,0.599556422,1,0.152748001,400.7616525,74.33192881,15.33634956,0.057253104,0.010237895,0.152348836,0.547373449,0.425387146,1,0.882433462,20,333.4523134,1,1,4096,0.6,0.12,0.005,0.25,50,0.242768349,1
34,4,104,22,24,54.3274266,9.581501575,0.07208495,0.004844232,0.198174803,1,0.125115371,436.2280602,40.22587427,7.977377493,0.140061684,0.026196839,0.04550429,0.991085774,0.235894662,1,0.646668776,20,349.9262177,0,1,4096,0.8,0.12,0.005,0.25,50,0.040564997,1
35,5,106,26,20,60.62413064,10.127856,0.072759079,0.005885602,0.241962827,1,0.131656229,434.0054821,56.88248693,11.56585297,0.121011532,0.02002868,0.046315843,1.284481791,0.203660998,1,0.678844321,20,335.5923287,1,1,4096,1,0.12,0.005,0.25,50,0.054342125,1
36,6,105,26,22,61.2605064,10.17648216,0.08203049,0.006217841,0.142111161,1,0.122133223,467.2173082,52.45144954,10.92416503,0.136383138,0.039285775,0.039071007,0.223979166,0.349121523,1,0.682417051,20,398.8748245,1,1,4096,0.2,0.18,0.005,0.25,50,0.042782758,1
37,7,108,30,21,78.59107197,12.41736838,0.076292589,0.005505313,0.129845464,1,0.118753147,499.3323506,50.03110473,7.725879288,0.23199961,0.077498119,0.014852998,0.544843953,0.185648073,1,0.79405123,20,423.0856741,1,1,4096,0.4,0.18,0.005,0.25,50,0.014784806,1
38,8,101,28,23,67.62730285,11.21670493,0.091572049,0.007715073,0.088944338,1,0.175071212,488.7025234,44.01413359,6.295960789,0.307684913,0.109656903,0.009902965,0.610819255,0.15482531,1,0.659293513,20,404.049291,1,0,4096,0.6,0.18,0.005,0.25,50,0.008405774,1
39,9,101,27,23,67.8341932,11.5255154,0.082498274,0.0068452,0.112802196,1,0.14798737,467.1788445,59.06879955,11.29933186,0.124415712,0.022586667,0.042653382,0.621927044,0.350229713,1,0.678894039,20,419.420739,1,1,4096,0.8,0.18,0.005,0.25,50,0.051409061,1
40,10,123,28,24,51.95626649,8.687846025,0.112875622,0.011275694,0.094745828,1,0.166756241,578.3135901,41.35898204,5.876877315,0.192804845,0.032447511,0.03060737,0.965169213,0.242666257,1,0.747369432,20,493.1049991,0,1,4096,1,0.18,0.005,0.25,50,0.021406923,1
